content_id,name,address,image,category,lcls1_name,lcls2_name,lcls3_name,area_code,sigungu_name,lat,lng,tel,region
2733413,매천 황현 생가,전남광주통합특별시 광양시 봉강면 서석길 14-3,http://tong.visitkorea.or.kr/cms/resource/39/3547839_image2_1.JPG,관광지,역사관광,역사유적지,생가,38,광양시,34.9934642874,127.5617658731,,전남
231912,매천사,전남광주통합특별시 구례군 광의면 월곡길 22-3,http://tong.visitkorea.or.kr/cms/resource/38/3346238_image2_1.JPG,관광지,역사관광,역사유적지,사당,38,구례군,35.2528833468,127.4622707481,,전남
3532876,머무르다목포,"전남광주통합특별시 목포시 해안로163번길 46-2 (금화동, 금화아파트)",,숙박,숙박,펜션/민박,홈스테이,38,목포시,34.7813404367,126.3771171455,,전남
2915883,메란명가,전남광주통합특별시 곡성군 곡성읍 곡성로 822,http://tong.visitkorea.or.kr/cms/resource/75/2915875_image2_1.JPG,음식점,음식,한식,관광식당,38,곡성군,35.2781192583,127.2941765979,,전남
2727280,메타파크,전남광주통합특별시 담양군 금성면 금성산성길 260,http://tong.visitkorea.or.kr/cms/resource/66/2727666_image2_1.jpg,레포츠,숙박,캠핑,일반야영장,38,담양군,35.3708124358,127.0215594513,,전남
742828,면앙정,전남광주통합특별시 담양군 봉산면 면앙정로 382-11,http://tong.visitkorea.or.kr/cms/resource/95/3568095_image2_1.jpg,관광지,역사관광,역사유적지,기타역사유적지,38,담양군,35.2843712179,126.9630362701,,전남
2852824,명가은,전남광주통합특별시 담양군 반석길 48-8  ,http://tong.visitkorea.or.kr/cms/resource/03/2852803_image2_1.JPG,음식점,음식,카페/ 찻집,찻집,38,담양군,35.1767676758,127.0198422947,,전남
2843225,명가정,전남광주통합특별시 담양군 깊은실길 16  ,http://tong.visitkorea.or.kr/cms/resource/06/2843206_image2_1.JPG,음식점,음식,한식,관광식당,38,담양군,35.3220843134,127.0038150380,,전남
1957397,명곡서원,전남광주통합특별시 강진군 군동면 신기길 63,http://tong.visitkorea.or.kr/cms/resource/72/3377772_image2_1.JPG,관광지,역사관광,역사유적지,사당,38,강진군,34.6573260643,126.8494868531,,전남
2708333,명량대첩해전사 기념전시관,전남광주통합특별시 해남군 문내면 관광레저로 12,http://tong.visitkorea.or.kr/cms/resource/60/3081760_image2_1.jpg,문화시설,문화관광,전시시설,전시관,38,해남군,34.5733544172,126.3108224049,,전남
1841405,명인집,전남광주통합특별시 목포시 하당로30번길 14,,음식점,음식,한식,관광식당,38,목포시,34.7989030868,126.4222460698,,전남
2856892,명품전복궁,전남광주통합특별시 완도군 완도읍 개포로 34-1,http://tong.visitkorea.or.kr/cms/resource/76/2856876_image2_1.jpg,음식점,음식,한식,관광식당,38,완도군,34.3158931968,126.7485511713,,전남
580069,모도,전남광주통합특별시 진도군 의신면 모도길 12-3,http://tong.visitkorea.or.kr/cms/resource/27/3572127_image2_1.JPG,관광지,자연관광,자연경관(하천‧해양),섬,38,진도군,34.4075626367,126.3556307120,,전남
2904800,모도상회,전남광주통합특별시 진도군 의신면 초평길 54,http://tong.visitkorea.or.kr/cms/resource/92/2904792_image2_1.jpg,음식점,음식,카페/ 찻집,카페,38,진도군,34.4159141786,126.3371210324,,전남
2891384,모란추어탕,전남광주통합특별시 강진군 강진읍 탑동길 5,http://tong.visitkorea.or.kr/cms/resource/74/2891374_image2_1.jpg,음식점,음식,한식,관광식당,38,강진군,34.6409959739,126.7671556010,,전남
2871612,모란한정식,전남광주통합특별시 강진군 강진읍 오감길 2,http://tong.visitkorea.or.kr/cms/resource/07/2871607_image2_1.jpg,음식점,음식,한식,관광식당,38,강진군,34.6396129234,126.7748521799,,전남
2878105,모래골,전남광주통합특별시 영광군 백수읍 해안로 1389,http://tong.visitkorea.or.kr/cms/resource/73/2877473_image2_1.jpg,음식점,음식,한식,관광식당,38,영광군,35.3632475278,126.4156189784,,전남
129216,모래미 해변,전남광주통합특별시 영광군 백수읍 구수리,http://tong.visitkorea.or.kr/cms/resource/51/3381951_image2_1.JPG,관광지,자연관광,자연경관(하천‧해양),해변. 해수욕장,38,영광군,36.3633472744,126.4149103101,,전남
2861594,모리씨 빵가게,전남광주통합특별시 보성군 태백산맥길 40  ,http://tong.visitkorea.or.kr/cms/resource/93/2861593_image2_1.JPG,음식점,음식,간이음식,제과,38,보성군,34.8457521212,127.3429388337,,전남
2877714,모리아101,전남광주통합특별시 무안군 일로읍 일로신흥길 59,http://tong.visitkorea.or.kr/cms/resource/01/2877701_image2_1.JPG,음식점,음식,카페/ 찻집,카페,38,무안군,34.8468626979,126.4906305368,,전남
128753,모사금해수욕장,전남광주통합특별시 여수시 오천동,http://tong.visitkorea.or.kr/cms/resource/43/3027343_image2_1.jpg,관광지,자연관광,자연경관(하천‧해양),해변. 해수욕장,38,여수시,34.7965564174,127.7557650074,,전남
